"District","School","Sample Name","Facility Location ID","Sample Type","Location Description","Date Collected","Result (mg/L)","Unit (mg/L)","Result (PPB)","Unit (PPB)","Qualifier","Reporting Limit","Immediate Response","Permanent Solution","Confirmation Sampling"
"Christina","Wilson Elementary","CHR-26-1-K03-DW-SS-19","19","SS","First Floor Water Fountain Room K03","02/03/2023","1.7","mg/L","1,700","ppb",,"0.001","Fountain taken out of service.","Fountain Replaced with bottle fill water fountain",
"Red Clay","Heritage Elementary School","RED-12-1-K1-DW-SS-15","15","SS","Water Fountain Room K1","03/08/2023","0.39","mg/L","390","ppb",,"0.002","Fixture Shut Off","Fixture Replaced and Filter Installed","Retest Being Scheduled"
"Cape Henlopen","HO Brittingham Elementary School","CAPE-3-1-CAFE-DWC-SS-07","7","SS","Water Fountain w/Cooler Cafeteria","03/10/2023","0.29","mg/L","290","ppb",,"0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Red Clay","Heritage Elementary School","RED-12-1-21-DW-SS-36","36","SS","Water Fountain Room 21","03/08/2023","0.27","mg/L","270","ppb",,"0.001","Fixture Shut Off","Fixture Replaced and Filter Installed","Retest Being Scheduled"
"Colonial","N3/Wallace Wallin","COL-15-1-WR-DWC-SS-27","27","SS","Water Fountain w/Cooler near Women's Restroom","12/22/2022","0.21","mg/L","210","ppb",,"0.002","Shutdown Fixture","Replaced Fixture and domestic water main and water lines in th building",
"Christina","Wilson Elementary","CHR-26-1-K02-DW-SS-18","18","SS","First Floor Water Fountain Room K02","02/03/2023","0.19","mg/L","190","ppb",,"0.002","Fountain taken out of service.","Fountain Replaced with bottle fill water fountain",
"Christina","Wilson Elementary","CHR-26-1-10P-DW-SS-04","4","SS","Water Fountain Room 10P","02/03/2023","0.17","mg/L","170","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water Bubbler taken out of service.  New water fountains added to school.","NA"
"Capital","Towne Pointe Elementary","CAP-11-1-1-DW-SS-25","25","SS","Water Fountain Room 1","01/14/2023","0.13","mg/L","130","ppb",,"0.002","Fixture Turned Off",,
"Christina","Albert H. Jones Elementary School","CHR-13-1-B108-DW-SS-25","25","SS","First Floor Water Fountain Room B108","01/25/2023","0.12","mg/L","120","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture will be replaced.  Additional water coolers will be added to the school.",
"Colonial","Castle Hills Elementary","COL-3-1-B6-DW-SS-13","13","SS","Water Fountain Room B6","01/05/2023","0.12","mg/L","120","ppb",,"0.002","Shutdown Fixture","Replace bubbler and water supply line",
"Colonial","George Read Middle School","Col-6-1-Cafe-DWC-SS-10R","10","SS","Right Water Fountain w/Cooler in Cafeteria","01/04/2023","0.12","mg/L","120","ppb",,"0.002","Shutdown Fixture","Removed Fixture",
"Capital","Towne Pointe Elementary","CAP-11-1-3-DW-SS-23","23","SS","Water Fountain Room 3","01/14/2023","0.11","mg/L","110","ppb",,"0.002","Fixture Turned Off",,
